time,signal
2.16,-0.2583333333333336
2.164,-0.26
2.168,-0.2650000000000022
2.172,-0.255
2.176,-0.2416666666666671
2.18,-0.2283333333333321
2.184,-0.1866666666666627
2.188,-0.1533333333333328
2.192,-0.15
2.196,-0.1383333333333328
2.2,-0.115
2.204,-0.0933333333333313
2.208,-0.045
2.212,-0.0199999999999985
2.216,0.0066666666666679
2.22,0.0650000000000044
2.224,0.1116666666666679
2.228,0.125
2.232,0.1475000000000039
2.236,0.22
2.24,0.2866666666666701
2.244,0.35
2.248,0.3816666666666686
2.2520000000000002,0.4150000000000087
2.2560000000000002,0.48000000000002385
2.2600000000000002,0.5650000000000021
2.2640000000000002,0.5700000000000027
2.2680000000000002,0.5875000000000086
2.2720000000000002,0.6399999999999979
2.2760000000000002,0.62833333333333
2.2800000000000002,0.6149999999999991
2.2840000000000003,0.6066666666666671
2.2880000000000003,0.6033333333333328
2.2920000000000003,0.5749999999999866
2.2960000000000003,0.5016666666666657
2.3000000000000003,0.44
2.3040000000000003,0.4416666666666671
2.308,0.41
2.312,0.3150000000000037
2.316,0.2516666666666686
2.32,0.2250000000000007
2.324,0.1883333333333372
2.328,0.125
2.332,0.0450000000000022
2.336,0.015
2.34,0.0016666666666679
2.344,-0.04
2.348,-0.0533333333333321
2.352,-0.0600000000000014
2.356,-0.06
2.36,-0.1133333333333298
2.364,-0.165
2.368,-0.2050000000000011
2.372,-0.2
2.376,-0.2099999999999992
2.38,-0.2433333333333333
2.384,-0.2599999999999993
2.388,-0.2666666666666666
2.392,-0.255
2.396,-0.2666666666666666
2.4,-0.285
2.404,-0.2933333333333335
2.408,-0.275
2.412,-0.2866666666666657
2.416,-0.3066666666666666
2.42,-0.3166666666666664
2.424,-0.2966666666666666
2.428,-0.325
2.432,-0.3475
2.436,-0.35
2.44,-0.3383333333333336
2.444,-0.335
2.448,-0.3383333333333343
2.452,-0.3283333333333333
2.456,-0.345
2.46,-0.355
2.464,-0.33
2.468,-0.325
2.472,-0.325
2.476,-0.3316666666666664
2.48,-0.3216666666666666
2.484,-0.3066666666666671
2.488,-0.28
2.492,-0.27
2.496,-0.285
2.5,-0.295
2.504,-0.2933333333333333
2.508,-0.295
2.512,-0.2883333333333333
2.516,-0.2849999999999992
2.52,-0.2633333333333333
2.524,-0.2800000000000007
2.528,-0.3
2.532,-0.29
2.536,-0.29
2.54,-0.2833333333333333
2.544,-0.305
2.548,-0.29
2.552,-0.2833333333333328
2.556,-0.28
2.56,-0.2866666666666679
2.564,-0.305
2.568,-0.32
2.572,-0.3
2.576,-0.2883333333333333
2.58,-0.2950000000000007
2.584,-0.305
2.588,-0.3016666666666664
2.592,-0.315
2.596,-0.3166666666666664
2.6,-0.325
2.604,-0.2933333333333333
2.608,-0.275
2.612,-0.3
2.616,-0.32
2.62,-0.2766666666666666
2.624,-0.2866666666666686
2.628,-0.335
2.632,-0.3474999999999983
2.636,-0.31
2.64,-0.295
2.644,-0.31
2.648,-0.3383333333333358
2.652,-0.3383333333333321
2.656,-0.325
2.66,-0.3250000000000007
2.664,-0.34
2.668,-0.3199999999999955
2.672,-0.275
2.676,-0.3066666666666701
2.68,-0.353333333333335
2.684,-0.349999999999997
2.688,-0.3199999999999993
2.692,-0.31
2.696,-0.3283333333333343
2.7,-0.34
2.704,-0.3233333333333328
2.708,-0.31
2.712,-0.3149999999999985
2.716,-0.3083333333333335
2.72,-0.3116666666666671
2.724,-0.315
2.728,-0.325
2.732,-0.3375000000000017
2.736,-0.32
2.74,-0.3
2.744,-0.305
2.748,-0.32
2.7520000000000002,-0.3099999999999993
2.7560000000000002,-0.31000000000001177
2.7600000000000002,-0.35666666666666885
2.7640000000000002,-0.3649999999999926
2.7680000000000002,-0.33249999999999746
2.7720000000000002,-0.3249999999999963
2.7760000000000002,-0.3116666666666667
2.7800000000000002,-0.3083333333333306
2.7840000000000003,-0.2883333333333328
2.7880000000000003,-0.285
2.7920000000000003,-0.3100000000000022
2.7960000000000003,-0.3066666666666657
2.8000000000000003,-0.2899999999999992
2.8040000000000003,-0.3000000000000044
2.8080000000000003,-0.3500000000000007
2.8120000000000003,-0.3499999999999985
2.816,-0.3266666666666686
2.82,-0.3183333333333336
2.824,-0.3249999999999985
2.828,-0.33
2.832,-0.3100000000000033
2.836,-0.29
2.84,-0.2900000000000007
2.844,-0.33
2.848,-0.33
2.852,-0.3100000000000029
2.856,-0.29
2.86,-0.2933333333333328
2.864,-0.315
2.868,-0.3050000000000044
2.872,-0.28
2.876,-0.2616666666666664
2.88,-0.255
2.884,-0.1916666666666686
2.888,-0.1483333333333333
2.892,-0.135
2.896,-0.1166666666666666
2.9,-0.075
2.904,0.0183333333333321
2.908,0.035
2.912,0.013333333333335
2.916,-0.0233333333333333
2.92,-0.0816666666666649
2.924,-0.1116666666666666
2.928,-0.125
2.932,-0.1625
2.936,-0.17
2.94,-0.1933333333333321
2.944,-0.25
2.948,-0.2683333333333328
2.952,-0.275
2.956,-0.305
2.96,-0.2783333333333333
2.964,-0.25
2.968,-0.2525
2.972,-0.295
2.976,-0.3116666666666657
2.98,-0.335
2.984,-0.3499999999999992
2.988,-0.38
2.992,-0.435
2.996,-0.3333333333333333
3.0,0.02
3.004,0.6483333333333333
3.008,1.47
3.012,1.83
3.016,2.003333333333337
3.02,1.9616666666666664
3.024,1.6449999999999836
3.028,0.95
3.032,-0.01
3.036,-0.75
3.04,-0.5483333333333333
3.044,-0.355
3.048,-0.3916666666666666
3.052,-0.3783333333333313
3.056,-0.33
3.06,-0.3450000000000007
3.064,-0.39
3.068,-0.41
3.072,-0.415
3.076,-0.39
3.08,-0.3833333333333328
3.084,-0.3833333333333333
3.088,-0.3900000000000007
3.092,-0.415
3.096,-0.4283333333333328
3.1,-0.405
3.104,-0.3866666666666666
3.108,-0.395
3.112,-0.4016666666666666
3.116,-0.3949999999999993
3.12,-0.3783333333333333
3.124,-0.3749999999999993
3.128,-0.36
3.132,-0.3449999999999977
3.136,-0.315
